"track__album__name","track__album__release_date","track__duration_ms","track__id","track__name","track__uri"
"Don't Start Now","2019-10-31","183290","6WrI0LAC5M1Rw2MnX2ZvEg","Don't Start Now","spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg"
"Mood (feat. iann dior)","2020-07-24","140525","3tjFYV6RSFtuktYl3ZtYcq","Mood (feat. iann dior)","spotify:track:3tjFYV6RSFtuktYl3ZtYcq"
"Positions","2020-10-30","172324","35mvY5S1H3J2QZyna3TFe0","positions","spotify:track:35mvY5S1H3J2QZyna3TFe0"
"Breaking Me","2019-12-19","166793","3H7ihDc1dqLriiWXwsc2po","Breaking Me","spotify:track:3H7ihDc1dqLriiWXwsc2po"
"Blueberry Faygo","2020-02-07","162546","6wJYhPfqk3KGhHRG76WzOh","Blueberry Faygo","spotify:track:6wJYhPfqk3KGhHRG76WzOh"
"Ride It","2019-07-26","157605","2tnVG71enUj33Ic2nFN6kZ","Ride It","spotify:track:2tnVG71enUj33Ic2nFN6kZ"
"Lonely","2020-01-24","190955","2ZEq4HT450Ye9IFGPTl9qV","Lonely","spotify:track:2ZEq4HT450Ye9IFGPTl9qV"
"BLAME IT ON BABY","2020-04-17","181733","7ytR5pFWmSjzHJIeQkgog4","ROCKSTAR (feat. Roddy Ricch)","spotify:track:7ytR5pFWmSjzHJIeQkgog4"
"Please Excuse Me For Being Antisocial","2019-12-06","196652","0nbXyq5TXYPCO7pr3N8S4I","The Box","spotify:track:0nbXyq5TXYPCO7pr3N8S4I"
"Future Nostalgia","2020-03-27","193829","3AzjcOeAmA57TIOr9zF1ZW","Physical","spotify:track:3AzjcOeAmA57TIOr9zF1ZW"
"We Love You Tecca","2019-08-30","131240","1lOe9qE0vR9zwWQAOk6CoO","Ransom","spotify:track:1lOe9qE0vR9zwWQAOk6CoO"
"Hollywood's Bleeding","2019-09-06","149546","7xQAfvXzm3AkraOtGPWIZg","Wow.","spotify:track:7xQAfvXzm3AkraOtGPWIZg"
"Roses (Imanbek Remix)","2019-10-09","176840","24Yi9hE78yPEbZ4kxyoXAI","Roses - Imanbek Remix","spotify:track:24Yi9hE78yPEbZ4kxyoXAI"
"TKN (feat. Travis Scott)","2020-05-28","129370","4w47S36wQGBhGg073q3nt7","TKN (feat. Travis Scott)","spotify:track:4w47S36wQGBhGg073q3nt7"
